AYDU,Daru Airport,PG,Daru,PG-WPD,OC,medium_airport,-9.08675956726,143.207992554,20,RUNWAY,4593,98,ASPHALT,0,0,14,-9.08229,143.203,13,135,,32,-9.09122,143.212,19,315,
AYDW,Dewara Airstrip,PG,Dewara,PG-WPD,OC,small_airport,-8.3802,142.4475,25,RUNWAY,2129,98,GRASS,0,0,10,,,,,,28,,,,,
AYDY,Sindeni Airstrip,PG,Sindeni,PG-EHG,OC,small_airport,-7.0077,145.7965,5710,RUNWAY,1969,98,HARD LOAM,0,0,10,,,,,,28,,,,,
AYED,Edwaki Airport,PG,Yellow River Mission,PG-SAN,OC,small_airport,-3.883986,141.792234,190,RUNWAY,2415,98,GRASS,0,0,02,,,,,,20,,,,,
AYEG,Mengina Airstrip,PG,Mengina,PG-CPK,OC,small_airport,-6.4836,144.986,4224,RUNWAY,1969,98,GRASS,0,0,01,,,,,,19,,,,,
AYEK,Membok Airstrip,PG,Membok,PG-WPD,OC,small_airport,-6.4744,141.019,54,RUNWAY,1476,98,RED SILT CLAY,0,0,09,,,,,,27,,,,,
AYEL,Eliptamin Airport,PG,Eliptamin,PG-SAN,OC,small_airport,-5.0412,141.6779,4825,RUNWAY,1739,98,GRAVEL,0,0,14,,,,,,32,,,,,
AYEM,Eleme Airstrip,PG,Eleme,PG-ESW,OC,small_airport,-4.8141,143.9103,233,RUNWAY,1969,98,GRASS,0,0,17,,,,,,35,,,,,
AYEN,Engati Airstrip,PG,Engati,PG-MPL,OC,small_airport,-6.9179,146.1053,3715,RUNWAY,1312,98,GRASS,0,0,16,,,,,,34,,,,,
AYEO,Emo River Airstrip,PG,Emo Mission,PG-NPP,OC,small_airport,-9.1234,148.0415,2240,RUNWAY,1804,98,GRASS,0,0,04,,,,,,22,,,,,
AYEY,Mirsey Airstrip,PG,Mirsey,PG-ESW,OC,small_airport,-4.0621,142.6609,107,RUNWAY,1936,98,GRASS,0,0,02,,,,,,20,,,,,
AYFE,Feramin Airport,PG,Feramin,PG-SAN,OC,small_airport,-5.208,141.6988,4655,RUNWAY,2165,98,GRASS,0,0,12,,,,,,30,,,,,
AYFK,Foroko Airstrip,PG,Foroko,PG-MPM,OC,small_airport,-5.3283,144.8944,412,RUNWAY,1969,98,GRASS,0,0,06,,,,,,24,,,,,
AYFS,Fas Airstrip,PG,Fugari,PG-SAN,OC,small_airport,-3.1983,141.472,1219,RUNWAY,1532,98,GRASS,0,0,09,,,,,,27,,,,,
AYFU,Fuma Airport,PG,Fuma,PG-WPD,OC,small_airport,-6.3933,142.4408,466,RUNWAY,2500,98,GRASS,0,0,05,,,,,,23,,,,,
AYGA,Goroka Airport,PG,Goronka,PG-EHG,OC,medium_airport,-6.081689834590001,145.391998291,5282,RUNWAY,3983,59,ASPHALT,0,0,17L,-6.07496,145.392,5199,176,,35R,-6.08625,145.393,5199,356,RUNWAY,5400,98,ASPHALT,1,0,17R,-6.07532,145.391,5199,176,,35L,-6.09023,145.392,5199,356,
AYGD,Gimi Airstrip,PG,Amusa,PG-EHG,OC,small_airport,-6.6482,145.4003,5096,RUNWAY,1706,,,0,0,02,,,,,,20,,,,,
AYGE,Geigorobi Airstrip,PG,Geigorobi,PG-ESW,OC,small_airport,-4.1055,143.3056,74,RUNWAY,1969,98,GRASS,0,0,12,,,,,,30,,,,,
AYGH,Guhu Airstrip,PG,Guhu,PG-MPM,OC,small_airport,-5.6957,146.1116,3,RUNWAY,1969,98,GRASS,0,0,03,,,,,,21,,,,,
AYGM,Gema Airstrip,PG,Gema,PG-EHG,OC,small_airport,-6.8032,145.7756,1675,RUNWAY,1837,98,GRASS,0,0,02,,,,,,20,,,,,
AYGN,Gurney Airport,PG,Gurney,PG-MBA,OC,medium_airport,-10.3114995956,150.333999634,88,RUNWAY,5546,98,ASPHALT,1,0,09,-10.31,150.326,65,101.3,,27,-10.313,150.341,65,281.3,
AYGO,Gokto Airstrip,PG,Gokto,PG-MPM,OC,small_airport,-4.9136,144.49,259,RUNWAY,2001,98,GRASS,0,0,17,,,,,,35,,,,,
AYGQ,Gawa Airstrip,PG,Gawa,PG-SAN,OC,small_airport,-5.259,142.233,6500,RUNWAY,1969,98,GRAVEL,0,0,11,,,,,,29,,,,,
AYGR,Girua Airport,PG,Popondetta,PG-NPP,OC,medium_airport,-8.80453968048,148.309005737,311,RUNWAY,5485,98,ASPHALT,0,0,03,-8.81049,148.304,310,38.1,,21,-8.7986,148.314,252,218.1,
AYGY,Guavi Airstrip,PG,Guavi,PG-WPD,OC,small_airport,-6.87,142.7537,303,RUNWAY,2625,75,GRASS,0,0,14,,,,,,32,,,,,
AYHA,Haia Airport,PG,,PG-CPK,OC,small_airport,-6.707421,144.997398,2434,RUNWAY,1982,98,GRASS,0,0,03,,,,,,21,,,,,
AYHB,Habi Airport,PG,Habi,PG-WPD,OC,small_airport,-6.32,142.4893,993,RUNWAY,1969,98,GRASS,0,0,02,,,,,,20,,,,,
AYHE,Heiweni Airport,PG,Heiweni,PG-MPL,OC,small_airport,-7.4223,146.4276,3480,RUNWAY,1404,98,GRASS,0,0,16,,,,,,34,,,,,
AYHJ,Hewa Airstrip,PG,Hewa,PG-EPW,OC,small_airport,-5.1914,142.9595,5000,RUNWAY,1969,98,GRASS,0,0,01,,,,,,09,,,,,
AYHK,Kimbe Airport,PG,Hoskins,PG-WBK,OC,medium_airport,-5.462170124053955,150.40499877929688,66,RUNWAY,5212,98,ASPHALT,1,0,12,-5.4573,150.4,7,133,,30,-5.46704,150.41,66,313,
AYHN,Habina Airstrip,PG,Habina,PG-EHG,OC,small_airport,-6.6671,146,6200,RUNWAY,1968,98,GRASS,0,0,17,,,,,,35,,,,,
