AYKM,3044,60,ASPHALT,0,0,14,-7.96,145.769,8,146,,32,-7.96694,145.774,9,326,
AYKR,2953,,,0,0,16,,,64,159.6,,34,,,150,339.6,
AYKT,5397,,ASPHALT,0,0,14,,,,,,32,,,,,
AYKV,5592,98,ASPHALT,1,0,12,-2.57498,150.802,13,124.9,,30,-2.58381,150.814,7,304.9,
AYLE,1969,98,,0,0,02,-5.2216,151.392,1600,29,,20,-5.2169,151.395,1450,209,
AYLH,1969,98,GRASS,0,0,01,,,,,,19,,,,,
AYLO,1640,,,0,0,04,,,,,,22,,,,,
AYLS,2520,,,0,0,12,,,,,,30,,,,,
AYLX,2015,98,GRS,0,0,04,,,,,,22,,,,,
AYLZ,2044,147,GRASS,0,0,10,,,,,,28,,,,,
AYMB,1998,,,0,0,17,,,,,,35,,,,,
AYMD,5174,105,ASPHALT,1,0,07,-5.20893,145.782,20,75,205,25,-5.20524,145.796,7,255,
AYMH,3599,59,ASPHALT,0,0,08,-5.82708,144.293,5363,85,197,26,-5.82615,144.303,5363,265,197
AYMH,7185,98,ASPHALT,1,0,12,-5.82376,144.291,5363,121,,30,-5.83398,144.308,5363,301,
AYMN,4411,98,ASPHALT,0,0,17,-6.14171,143.656,5695,172.8,,35,-6.15377,143.658,5665,352.8,
AYMO,6136,148,ASPHALT,1,0,16,-2.05393,147.421,4,161,,34,-2.06988,147.427,8,341,197
AYMY,1969,98,GRASS,0,0,15,,,,,,33,,,,,
AYNM,1499,98,GRASS,0,0,12,,,,,,30,,,,,
AYNO,1627,,,0,0,08,,,,,,26,,,,,
AYNT,1476,98,GRASS,0,0,09,,,,,,27,,,,,
AYNZ,8004,98,ASPHALT,1,0,09,-6.56887,146.715,239,95,,27,-6.57078,146.737,216,275,
AYOD,1870,98,GRASS,0,0,10,,,,,,28,,,,,
AYOE,2014,,,0,0,01,,,,,,19,,,,,
AYOH,2182,98,GRAVEL,0,0,01,,,,,,19,,,,,
AYOJ,2215,98,GRASS,0,0,10,,,,,,28,,,,,
AYOK,1224,,,0,0,02,,,,,,20,,,,,
AYOS,1968,,,0,0,17,,,,,,35,,,,,
AYOU,1381,98,GRASS,0,0,18,,,,,,36,,,,,
AYOX,1969,98,GRASS,0,0,01,,,,,,19,,,,,
AYOY,3524,,GRS,0,0,01,,,,,,19,,,,,
AYPA,1680,98,GRASS,0,0,11,,,,,,29,,,,,
AYPC,2396,98,GRASS,0,0,01,,,,,,19,,,,,
AYPI,1969,98,GRASS,0,0,05,,,,,,23,,,,,
AYPO,1706,,,0,0,18,,,,,,36,,,,,
AYPY,6777,148,ASPHALT,1,0,14R,-9.43471,147.213,104,148.5,,32L,-9.45063,147.223,146,328.5,
AYPY,9022,148,ASPHALT,1,0,14L,-9.43087,147.214,103,148.4,,32R,-9.4521,147.227,128,328.4,
AYQB,1378,98,GRASS,0,0,07,,,,,,25,,,,,
AYQM,1706,98,GRASS,0,0,16,,,,,,34,,,,,
AYQV,2021,98,GRASS,0,0,15,,,,,,33,,,,,
AYQW,1942,49,GRS,0,0,07,,,,,,25,,,,,
AYRG,1952,98,GRASS,0,0,15,,,,,,33,,,,,
AYRI,2900,,,0,0,12,,,,,,30,,,,,
AYRR,1969,98,GRASS,0,0,08,,,,,,26,,,,,
AYRT,2014,98,GRASS,0,0,16,,,,,,34,,,,,
AYRV,1969,98,GRASS,0,0,05,,,,,,23,,,,,
AYSB,2953,82,GRAVEL,0,0,18,,,,,,36,,,,,
AYSI,1181,98,GREY SILT CLAY,0,0,06,,,,,,24,,,,,
AYSR,2159,98,GRASS,0,0,10,,,,,,28,,,,,
AYSX,1263,,,0,0,17,,,,,,35,,,,,
AYTD,2953,82,GRAVEL,0,0,07,,,,,,25,,,,,
AYTK,5643,92,ASPHALT,1,0,10,-4.33822,152.372,15,106.4,,28,-4.34262,152.387,50,286.4,
AYTM,1854,98,GRASS,0,0,16,,,,,,34,,,,,
AYTQ,1969,30,GRASS,0,0,14,,,,,,32,,,,,
AYTT,1909,98,RED CLAY,0,0,18,,,,,,36,,,,,
AYTW,1529,98,GRASS,0,0,02,,,,,,20,,,,,
AYTZ,1411,98,GRASS,0,0,04,,,,,,22,,,,,
AYUA,1844,98,GRASS,0,0,04,,,,,,22,,,,,
AYUC,1598,98,GRASS,0,0,13,,,,,,31,,,,,
AYUE,1575,98,GRASS,0,0,09,,,,,,27,,,,,
AYUG,1594,98,GRASS,0,0,07,,,,,,25,,,,,
AYUN,1998,98,GRASS,0,0,07,,,,,,25,,,,,
AYUO,1969,98,GRAVEL,0,0,16,,,,,,34,,,,,
AYUQ,2172,,GRS,0,0,13,,,,,,31,,,,,
AYUS,2165,98,GRASS,0,0,14,,,,,,32,,,,,
AYUT,1575,98,GRASS,0,0,15,,,,,,33,,,,,
AYUV,1903,98,GRASS,0,0,14,,,,,,32,,,,,
AYUX,1499,98,GRASS,0,0,04,,,,,,22,,,,,
AYUZ,2756,98,GRAVEL,0,0,07,,,,,,25,,,,,
AYVA,2953,98,GVL,0,0,17,,,,,,35,,,,,
AYVB,1558,98,GRASS,0,0,10,,,,,,28,,,,,
AYVL,5250,82,GRE,0,0,14,,,,143,,32,,,,323,
AYVM,2500,98,GRASS,0,0,02,,,,,,20,,,,,
AYVN,5775,85,ASPHALT,1,0,12,-2.68762,141.297,11,130,460,30,-2.69776,141.309,22,310,
AYVO,1969,98,GRASS,0,0,04,,,,,,22,,,,,
AYVP,2625,98,GRAVEL,0,0,08,,,,,,26,,,,,
AYWB,2379,98,GRAVEL,0,0,14,,,,,,32,,,,,
AYWD,5052,75,ASPHALT,0,0,14,-5.63807,143.891,5889,139,,32,-5.64853,143.9,5889,319,239
AYWK,5234,98,ASPHALT,1,0,10,-3.5821,143.662,16,103.9,,28,-3.58556,143.676,19,283.9,
AYWN,1440,98,GRASS,0,0,15,,,,,,33,,,,,
AYWO,1394,98,GRAVEL,0,0,11,,,,,,29,,,,,
AYXB,2448,98,GRASS,0,0,16,,,,,,34,,,,,
AYXI,1384,98,GRASS,0,0,18,,,,,,36,,,,,
AYXY,1299,98,GRASS,0,0,11,,,,,,29,,,,,
AYYD,1991,98,GRASS,0,0,10,,,,,,28,,,,,
AYYI,1969,98,GRASS,0,0,16,,,,,,34,,,,,
AYYQ,1493,98,GRASS,0,0,03,,,,,,21,,,,,
AYYT,1500,,,0,0,12,,,,,,30,,,,,
AYYU,1995,,,0,0,11,,,,,,29,,,,,
AYYV,1969,98,GRASS,0,0,14,,,,,,32,,,,,
AYYW,1188,,,0,0,15,,,,,,33,,,,,
AYZQ,1969,98,GRASS,0,0,11,,,,,,29,,,,,
AYZU,2090,98,GRASS,0,0,03,,,,,,21,,,,,
BGBW,6004,148,CONCRETE,1,0,07,61.1544,-45.4369,11,41,,25,61.1667,-45.415,112,221,
BGCO,3281,98,GVL,1,0,18,0,,45,157.1,,36,,,9,337.1,
BGGH,3117,98,ASPHALT,1,0,05,64.189,-51.6796,271,19,,23,64.1971,-51.6734,281,199,
BGNS,197,66,ASPHALT,0,0,04,,,,,,22,,,,,
BGNS,197,66,ASPHALT,0,0,10,,,,,,28,,,,,
BGQQ,2953,,GVL,0,0,17,,,,,,35,,,,,
BGSF,9219,197,ASPHALT,1,0,09,67.0056,-50.7431,100,61.6,,27,67.0176,-50.6864,165,241.6,
BGTL,9997,140,ASPHALT,1,0,08T,76.53,-68.7615,167,84.9,,26T,76.5324,-68.6448,251,264.9,
BGTL,9997,140,ASPHALT,0,0,08,,,,,,26,,,,,
BGUK,2621,99,ASPHALT,1,0,05,,,407,,,23,,,395,,
BIAR,6365,148,ASPHALT,1,0,01,65.65,-18.0707,7,355,,19,65.6673,-18.074,5,175,
BIBD,3084,98,BIT,1,0,05,65.6374,-23.5512,11,28,,23,65.6453,-23.5411,26,208,
BIEG,6562,148,ASPHALT,1,0,04,65.2746,-14.4112,76,25,502,22,65.2908,-14.3928,76,205,
BIFZ,2510,115,GRS,0,0,04,,,,,,22,,,,,
BIGR,3379,,ASPHALT,1,0,17,66.5504,-18.0213,81,160,,35,66.5417,-18.0133,75,340,
BIHN,4921,148,BIT,1,0,18,64.3022,-15.2308,24,168,,36,64.2891,-15.2239,7,348,
BIHU,5266,157,BIT,1,0,02,65.9453,-17.4295,48,12,,20,65.9593,-17.4224,45,192,
BIIS,4593,148,BIT,1,0,08,66.0551,-23.1486,8,62,,26,66.061,-23.1216,8,242,
BIKF,10020,197,ASPHALT,1,0,01,63.9645,-22.6055,135,,,19,63.9919,-22.6054,161,180,
BIKF,10056,197,ASPHALT,1,0,10,63.985,-22.655,109,90,43,28,63.985,-22.5924,168,270,43
BIKR,6191,90,ASPHALT,1,0,01,65.7233,-19.5696,8,351,,19,65.74,-19.5761,8,171,
BIPA,4593,148,BIT,1,0,14,65.5592,-23.9791,11,119.1,,32,65.5531,-23.9526,11,299.1,
BIRK,3150,98,ASPHALT,0,1,06,64.1272,-21.9468,27,46,342,24,64.1331,-21.9326,39,226,66
BIRK,4035,148,ASPHALT,1,0,13,64.1325,-21.9554,17,117,,31,64.1276,-21.9327,38,297,213
BIRK,5141,148,ASPHALT,1,0,01,64.122,-21.9362,23,355,263,19,64.136,-21.9389,29,175,
BISI,3556,105,BIT,0,0,07,66.1298,-18.9248,10,43,,25,66.1369,-18.9085,10,223,
BISS,2578,59,ASPHALT,0,0,15,64.0617,-21.5743,,,,33,64.0584,-21.561,,,
BITN,3934,98,BIT,1,0,02,66.2131,-15.3363,51,2.7,,20,66.2238,-15.335,64,182.7,
BIVM,3806,148,BIT,1,0,03,63.4201,-20.282,291,19,,21,63.4298,-20.2748,299,199,
BIVM,3953,148,BIT,1,0,12,63.4256,-20.287,298,110,,30,63.422,-20.2645,326,290,
BKPR,8165,148,ASPHALT,1,0,17,42.5853,21.0346,1789,176,,35,42.5629,21.0369,1786,356,
CBBC,3700,75,ASPHALT,0,0,13,52.1894,-128.161,141,151,,31,52.1806,-128.153,103,331,
CRML,2250,50,TURF,0,0,01,,,,,360,19,,,,,
CYAB,3935,98,GRAVEL,1,0,13,,,,128,,31,,,,308,
CYAC,3900,100,GRAVEL,0,0,11,,,1339,,,29,,,1336,,
CYAD,5000,150,GRAVEL,0,0,11,,,775,,,29,,,747,,
CYAG,2600,75,ASPHALT,1,0,03,48.6528,-93.4453,1120,34.8,,21,48.6586,-93.4392,1125,214.8,
CYAG,4500,100,ASPHALT,1,0,12,48.658,-93.4481,1123,126,,30,48.6508,-93.433,1119,306,
CYAH,5000,150,GRAVEL,0,0,09,,,993,,,27,,,1002,,
CYAL,2900,75,ASPHALT,0,0,09,,,,,,27,,,,,
CYAM,6000,200,ASPHALT,1,0,04,46.4778,-84.5153,612,33.5,,22,46.4917,-84.5019,630,213.5,
CYAM,6000,200,ASPHALT,1,0,12,46.486,-84.5209,612,107.8,,30,46.481,-84.4982,612,287.8,
CYAQ,3500,100,GRAVEL,0,0,03,,,672,,,21,,,633,,
CYAT,3500,100,GRAVEL,0,0,06,,,,,,24,,,,,
CYAU,3937,75,ASPHALT,1,0,07,44.2271,-64.8622,317,53.9,,25,44.2335,-64.85,314,233.9,
CYAV,2850,75,ASPHALT,1,0,04,50.0508,-97.0356,758,46,,22,50.0561,-97.0269,760,226,
CYAV,3000,75,ASPHALT,1,0,13,50.0614,-97.0356,757,132,,31,50.0558,-97.0261,760,312,
CYAV,3000,75,ASPHALT,1,0,18,50.0614,-97.0368,755,190,,36,50.0535,-97.0389,758,10,
CYAW,3500,112,ASPHALT,1,0,16H,,,,,,34H,,,,,
CYAW,5692,200,ASPHALT,1,1,10,44.6389,-63.5161,167,84.8,,28,44.64,-63.4944,132,264.8,
CYAW,8998,200,ASPHALT,0,1,16,44.6494,-63.5057,136,139,,34,44.6308,-63.4829,119,319,
CYAX,3600,75,ASPHALT,1,0,18,50.2992,-96.0092,,185,,36,50.2892,-96.0103,,5,
CYAY,4000,100,ASPHALT,1,0,10,51.3909,-56.0918,108,80,,28,51.3929,-56.0745,88,260,
CYAZ,4997,100,CONCRETE,0,0,11,49.0825,-125.783,79,126,500,29,49.0744,-125.766,76,306,
CYAZ,4999,150,CONCRETE,0,0,07,49.0759,-125.781,75,90,720,25,49.0759,-125.76,79,270,350
CYAZ,5000,100,CONCRETE,0,0,16,49.0894,-125.781,80,175,200,34,49.0758,-125.779,79,355,870
CYBA,3000,190,TURF/SNOW,0,0,18,,,,,,36,,,,,
CYBB,5000,100,GVL,1,0,05,68.53,-89.8222,56,49,,23,68.5389,-89.7939,25,229,
CYBC,6000,150,ASPHALT,1,0,10,49.1309,-68.2196,70,80.5,,28,49.1336,-68.1948,66,260.5,
CYBD,4200,100,ASPHALT,0,0,05,52.3858,-126.604,,72,,23,52.3894,-126.587,,252,115
CYBE,3930,100,GVL,1,0,06,59.56,-108.492,1027,75,,24,59.5628,-108.471,1017,255,
CYBF,4433,75,ASPHALT,1,0,07,54.3042,-110.754,,90,,25,54.3039,-110.733,,270,512
CYBG,10000,150,CONCRETE,1,0,11,48.3328,-71.0158,519,90.6,,29,48.3325,-70.975,511,270.6,
CYBG,6000,150,ASPHALT,1,0,18,48.3375,-70.9964,520,163.4,,36,48.3219,-70.9894,522,343.4,
CYBK,4200,100,GVL,1,0,16T,64.3044,-96.0819,59,162,,34T,64.2933,-96.0736,10,342,
CYBL,5000,150,ASPHALT,1,0,11,49.9556,-125.278,346,134.3,,29,49.9461,-125.263,297,314.3,
CYBP,2400,50,GRAVEL,0,0,02,,,,,,20,,,,,
CYBP,2800,75,ASPHALT,0,0,12,,,,,,30,,,,,
CYBQ,3200,100,CRUSHED ROCK,0,0,06,,,,,,24,,,,,
CYBR,2795,100,ASPHALT,0,1,02,49.907,-99.9529,,20.4,,20,49.914,-99.9488,,200.4,
CYBR,3000,60,GVL,0,0,14,49.9135,-99.9489,1337,150,,32,49.9065,-99.9422,1331,330,
CYBR,6500,150,ASPHALT,1,0,08,49.9071,-99.9659,1343,90,,26,49.9075,-99.9383,1332,270,
CYBT,3500,90,CRUSHED ROCK,0,0,03,,,1136,,,21,,,1136,,
CYBU,2900,115,TURF/SNOW,0,0,12,,,,,,30,,,,,
CYBU,2930,75,ASPHALT,0,0,03,,,,,,21,,,,,
CYBV,2900,75,CRUSHED ROCK,0,0,08,,,728,,,26,,,728,,
CYBW,3423,100,ASPHALT,1,0,08,51.1048,-114.379,3935,90,,26,51.1048,-114.364,3934,270,
CYBW,5000,98,ASPHALT,1,0,17,51.1122,-114.379,3930,181,,35,51.0985,-114.379,3940,1,
CYBX,4500,150,ASPHALT,1,0,05,51.4366,-57.1909,79,27.5,,23,51.4476,-57.1818,121,207.5,
CYCA,2500,75,GRAVEL,0,0,09,,,40,,,27,,,40,,
CYCB,5000,150,GVL,1,0,13T,69.1122,-105.154,89,127.4,,31T,69.1039,-105.123,61,307.4,
CYCC,3500,100,ASPHALT,1,0,10,45.0922,-74.57,171,83.3,,28,45.0933,-74.5567,168,263.3,
CYCD,6602,150,ASPHALT,1,0,16,49.0592,-123.87,75,181,197,34,49.0455,-123.87,92,1,1002
CYCE,4400,150,ASPHALT,1,0,16,43.2908,-81.5094,822,151,,34,43.2803,-81.5014,824,331,
CYCE,5012,100,ASPHALT,1,0,10,43.2831,-81.5181,819,91,,28,43.2828,-81.4992,824,271,
CYCG,5300,150,ASPHALT,1,0,15,49.3034,-117.635,1615,169,,33,49.2891,-117.63,1621,349,
CYCH,10006,150,ASPHALT,1,0,09,47.0053,-65.4604,108,72,,27,47.0103,-65.4379,85,252,
CYCH,5200,150,ASPHALT,0,1,04,47,-65.445,69,20.3,,22,47.0133,-65.4378,90,200.3,
CYCH,5513,150,ASPHALT,0,1,15,47.0097,-65.4531,107,134.4,,33,46.9992,-65.4372,68,314.4,
CYCH,7500,150,ASPHALT,0,1,10,47.0078,-65.4694,106,79,,28,47.0117,-65.44,85,259.1,
CYCK,5000,75,ASPHALT,1,0,06,42.3014,-82.0883,650,44,,24,42.3114,-82.0756,650,224,
CYCL,6000,150,ASPHALT,1,0,12,47.9925,-66.3433,132,105,,30,47.9883,-66.3194,114,285,
CYCN,4500,100,ASPHALT,1,0,13,49.1086,-81.0219,840,119.2,,31,49.1025,-81.0053,861,299.2,
CYCO,5500,100,GVL,1,0,12T,67.8206,-115.161,39,121,,30T,67.8128,-115.127,69,301,
CYCP,5000,60,ASPHALT,0,0,01,52.1108,-119.291,,31.6,,19,52.1225,-119.279,,211.6,
CYCQ,4484,100,ASPHALT,1,0,05,55.6853,-121.637,2000,72,,23,55.6891,-121.616,2000,252,
CYCR,3990,95,CRUSHED ROCK,0,0,05,,,,,,23,,,,,
CYCT,3000,75,ASPHALT,1,0,11,52.0775,-111.451,,128,,29,52.0725,-111.44,,308,
CYCW,3990,75,ASPHALT,1,0,07,49.1519,-121.947,31,81.3,,25,49.1536,-121.931,28,261.3,
